x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3 C4 C5 C6 C7,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C5,0.6614890805430942
0.37634316,0.003478353,11.0,rise,C2,0.6404663168838352
0.73111004,-0.033749204,18.0,dead,C5,0.6400146333216534
3.9828346,0.020948611,238.0,need,C1,0.61646418806283
0.37662598,-0.0074088247,13.0,upgrade,C2,0.6358799591094447
-0.06316564,0.004887472,4.0,plugin,C2,0.71195213715251
0.4271167,-0.040221818,12.0,station,C2,0.5942195612245788
3.193548,-0.30603263,200.0,know,C1,0.6492227601507246
3.1021552,-0.18599184,135.0,awesome,C1,0.6163023330397523
0.26043293,0.013959806,13.0,likely,C2,0.6817036045627907
-0.11113785,0.0044337744,5.0,appreciate,C2,0.7076248781932323
4.019419,-0.15933505,143.0,design,C1,0.6681708040945532
2.7026744,-0.10404712,79.0,also,C7,0.620986348966607
2.097018,-0.11153362,71.0,giving,C7,0.662257494555427
4.5649724,-0.3645213,388.0,free,C6,0.6733605605381874
1.9270232,-0.10096901,77.0,wait,C7,0.6541029416788587
1.1210569,-0.08354992,47.0,sale,C5,0.6453876646008501
1.6456244,-0.028374815,55.0,hope,C7,0.5749561818617502
3.8084848,-0.36668912,168.0,year,C1,0.6693709220872567
0.83228153,-0.061614644,32.0,festival,C5,0.6681282942678951
4.0922103,-0.30953568,222.0,great,C1,0.639180052161263
0.9657178,-0.03619095,36.0,stuff,C5,0.6721502252834034
3.2821126,-0.74373174,185.0,marissa,C1,0.6100324339613499
3.4865944,-0.71453625,211.0,mayer,C1,0.6172528041055997
0.12032748,-0.012813948,9.0,reilly,C2,0.7150079947237662
3.294121,0.09623543,167.0,tech,C1,0.6052564933650907
1.4868015,-0.10369754,38.0,book,C7,0.47362467523438023
1.7683752,-0.1994597,73.0,conference,C7,0.630570590861152
0.547015,-0.033140186,12.0,matt,C5,0.5166084610080275
0.09071896,-0.025522267,9.0,wordpress,C2,0.7144398717545251
4.084291,-0.06275168,226.0,apps,C1,0.6360948661373417
1.0250382,-0.04847326,22.0,communication,C5,0.667817690494943
0.9112232,-0.055109147,20.0,showcased,C5,0.6647523396970743
0.9107816,-0.08614178,29.0,http,C5,0.6685092759877189
1.3765107,-0.07794311,37.0,edchat,C5,0.5878314654916701
1.133316,-0.07123189,33.0,starting,C5,0.6682602621843448
3.1650639,-0.21734275,131.0,around,C1,0.6236905013416447
0.3798915,-0.023447704,14.0,corner,C2,0.6281408477892049
0.007958383,0.014096371,5.0,jump,C2,0.7145176916094921
3.875,-0.04266789,177.0,good,C1,0.6621077919118854
4.422304,-0.23899443,306.0,time,C6,0.5727174571342305
4.860034,-0.36594573,598.0,android,C6,0.6402687496779941
1.6498094,-0.17254552,63.0,smart,C7,0.6076222682599272
0.21503419,-0.020249285,10.0,simple,C2,0.6995225332614259
1.5687754,-0.060778704,49.0,idea,C7,0.5427042911719264
0.2896925,-0.024697563,12.0,wrote,C2,0.6751635300123919
0.704123,-0.07257653,32.0,hollergram,C5,0.6469632543897124
1.5893188,-0.13455383,51.0,day,C7,0.5713919834053924
0.75758237,0.0023251243,20.0,plus,C5,0.6371480049383091
0.025405498,0.047507044,7.0,strong,C2,0.70137181516405
0.13341257,0.006265991,8.0,canadian,C2,0.7126188412315131
0.17464688,-0.023472652,7.0,dollar,C2,0.7073613782095133
1.1794078,-0.06981985,30.0,mean,C5,0.6613367590270751
0.3835099,-0.052735876,22.0,stock,C2,0.5794065677606374
-0.056642745,-0.004303463,6.0,gear,C2,0.7139435080998078
0.8827562,0.11216601,44.0,excited,C5,0.6110502562131157
1.9448355,-0.07818192,64.0,meet,C7,0.6506268711319511
4.1876173,-0.27397892,140.0,show,C1,0.6651969644091305
0.13856721,-0.022073599,7.0,sprint,C2,0.7124075093029245
0.058986705,-0.04790395,10.0,galaxy,C2,0.705297811347435
2.6758256,-0.2148768,107.0,still,C7,0.5505657763332766
0.45808277,-0.07006336,18.0,running,C5,0.47423464896658224
1.2678208,-0.021963047,38.0,fail,C5,0.632829638638906
2.3023114,-0.076387346,89.0,find,C7,0.6592801998038147
1.6380975,-0.06005354,49.0,start,C7,0.5695507905830827
-0.20753309,0.007464358,4.0,impromptu,C2,0.6956765754740668
4.7511845,-0.32424605,401.0,party,C6,0.6743802118563041
3.6036708,-0.38305902,229.0,come,C1,0.6375237565290168
1.699736,-0.085148185,52.0,foursquare,C7,0.6007971432630954
4.3934846,0.12609361,153.0,game,C1,0.6309938016965969
-0.027693115,-0.015706347,9.0,prefer,C2,0.714457625968064
3.8271277,-0.3669222,146.0,best,C1,0.6642886933395256
2.1558888,-0.09183623,80.0,looking,C7,0.662445181291521
0.29659492,0.0041637355,18.0,gotta,C2,0.6591191273559437
3.1570432,-0.2934194,146.0,love,C1,0.6378052127313678
0.61332786,-0.029586786,20.0,calendar,C5,0.6020634985910376
0.10009267,-0.022775946,10.0,featuring,C2,0.7138739832770106
3.4840248,-0.24469125,122.0,case,C1,0.6454049395310545
4.054464,-0.20828441,266.0,check,C1,0.5446471319092283
0.47077063,-0.0034029318,23.0,haha,C5,0.4792474050961418
-0.066871695,0.007067458,6.0,awesomely,C2,0.7119278767450952
0.6976477,-0.050895967,22.0,holler,C5,0.6421020182547978
0.6947958,-0.06531414,22.0,gram,C5,0.6398441568311577
2.232751,-0.2299091,98.0,itunes,C7,0.6437449560295964
4.232746,-0.2365583,1528.0,store,C4,0.5
2.6172662,0.074747585,104.0,coming,C7,0.5976237972834083
1.2160975,-0.121341236,44.0,weekend,C5,0.6155695477336901
2.2663703,-0.07498794,78.0,many,C7,0.6616494352386111
3.9373012,-0.49628964,156.0,user,C1,0.652609271426933
2.6725078,-0.18972942,89.0,hour,C7,0.598674095351573
0.68895656,-0.007893841,31.0,late,C5,0.6357008679241167
0.29149485,-0.042192075,11.0,sunday,C2,0.6690547874425067
1.0422007,-0.061701775,43.0,morning,C5,0.6678063022178561
0.36187333,-0.009105945,18.0,added,C2,0.6281064469453796
1.0546224,-0.074502684,25.0,flight,C5,0.6684307573755577
4.0440135,-0.25600594,231.0,people,C1,0.6296771185294185
0.58512425,-0.04101546,18.0,plane,C5,0.5817524150714074
0.8268651,-0.06961225,21.0,airport,C5,0.659728506886743
0.31567454,-0.026227588,11.0,downloaded,C2,0.6664133696285497
0.65758365,0.008013768,21.0,done,C5,0.6056337116136341
1.6086525,-0.0873097,50.0,must,C7,0.5693971653299699
-0.0074365376,0.012289728,5.0,lovely,C2,0.7145125360015273
1.0036613,-0.015398657,28.0,review,C5,0.669373003565216
1.9305129,-0.09311797,64.0,sure,C7,0.6512741043268051
-0.08937754,0.0010749234,5.0,pure,C2,0.7103022623305835
-0.04983455,-0.024395915,7.0,easier,C2,0.7120185292092074
2.983376,-0.07427495,105.0,event,C1,0.49396484162192167
1.306629,-0.07069776,42.0,website,C5,0.6053982407917629
-0.15253769,0.032552857,5.0,okay,C2,0.6977637975056649
2.8287396,-0.009690305,111.0,really,C7,0.539204456705006
2.0168169,-0.108885914,105.0,photo,C7,0.6457522695354334
-0.18692473,-0.0062248004,5.0,installed,C2,0.698795282475688
2.0747592,-0.12967204,82.0,nice,C7,0.6608149377639897
-0.110454224,0.009533202,4.0,tumblr,C2,0.7067259188461638
0.4660552,0.0077350046,18.0,enjoying,C2,0.5534266746637089
0.87487835,-0.07479418,21.0,change,C5,0.6623134610022934
