x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C1,0.6954241753409525
0.37634316,0.003478353,11.0,rise,C1,0.7256342295358276
0.73111004,-0.033749204,18.0,dead,C1,0.7060461388750074
3.9828346,0.020948611,238.0,need,C2,0.6362537228580005
0.37662598,-0.0074088247,13.0,upgrade,C1,0.725794325058874
-0.06316564,0.004887472,4.0,plugin,C1,0.7271236616810144
0.4271167,-0.040221818,12.0,station,C1,0.7233586389634654
3.193548,-0.30603263,200.0,know,C2,0.6486678179492622
3.1021552,-0.18599184,135.0,awesome,C2,0.6638341232762829
0.26043293,0.013959806,13.0,likely,C1,0.7280807931227641
-0.11113785,0.0044337744,5.0,appreciate,C1,0.7255190488882599
4.019419,-0.15933505,143.0,design,C2,0.6555590245455731
2.7026744,-0.10404712,79.0,also,C2,0.6516787153025374
2.097018,-0.11153362,71.0,giving,C2,0.6200424489541593
4.5649724,-0.3645213,388.0,free,C2,0.6044988457552873
1.9270232,-0.10096901,77.0,wait,C2,0.6036924599204349
1.1210569,-0.08354992,47.0,sale,C1,0.6382284224200082
1.6456244,-0.028374815,55.0,hope,C2,0.4940405850131437
3.8084848,-0.36668912,168.0,year,C2,0.6522597811002547
0.83228153,-0.061614644,32.0,festival,C1,0.6901103216319386
4.0922103,-0.30953568,222.0,great,C2,0.6427953796427127
0.9657178,-0.03619095,36.0,stuff,C1,0.6750458231780123
3.2821126,-0.74373174,185.0,marissa,C2,0.6222216092175321
3.4865944,-0.71453625,211.0,mayer,C2,0.6243406572909841
0.12032748,-0.012813948,9.0,reilly,C1,0.7309588019054302
3.294121,0.09623543,167.0,tech,C2,0.645889103406954
1.4868015,-0.10369754,38.0,book,C1,0.5713900204372443
1.7683752,-0.1994597,73.0,conference,C2,0.5768550993301675
0.547015,-0.033140186,12.0,matt,C1,0.7182457764377952
0.09071896,-0.025522267,9.0,wordpress,C1,0.7304243180127677
4.084291,-0.06275168,226.0,apps,C2,0.6412436670922538
1.0250382,-0.04847326,22.0,communication,C1,0.6762810154086115
0.9112232,-0.055109147,20.0,showcased,C1,0.6889843272567495
0.9107816,-0.08614178,29.0,http,C1,0.6821078923656809
1.3765107,-0.07794311,37.0,edchat,C1,0.603135037280984
1.133316,-0.07123189,33.0,starting,C1,0.6529488565945407
3.1650639,-0.21734275,131.0,around,C2,0.6638456728679092
0.3798915,-0.023447704,14.0,corner,C1,0.725528797049935
0.007958383,0.014096371,5.0,jump,C1,0.728691738035878
3.875,-0.04266789,177.0,good,C2,0.6517999777388783
4.422304,-0.23899443,306.0,time,C2,0.6226536615719083
4.860034,-0.36594573,598.0,android,C2,0.5716976833702109
1.6498094,-0.17254552,63.0,smart,C2,0.5359659508179823
0.21503419,-0.020249285,10.0,simple,C1,0.7300557433340156
1.5687754,-0.060778704,49.0,idea,C1,0.5339851329098799
0.2896925,-0.024697563,12.0,wrote,C1,0.728327555407868
