x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C1,0.7408984540489882
0.37634316,0.003478353,11.0,rise,C1,0.7433030411364613
0.73111004,-0.033749204,18.0,dead,C1,0.741718210590288
3.9828346,0.020948611,238.0,need,C1,0.6848129305642645
0.37662598,-0.0074088247,13.0,upgrade,C1,0.7433805017085081
-0.06316564,0.004887472,4.0,plugin,C1,0.7426101067081624
0.4271167,-0.040221818,12.0,station,C1,0.743186290699848
3.193548,-0.30603263,200.0,know,C1,0.7021612749643683
3.1021552,-0.18599184,135.0,awesome,C1,0.7115251867462531
0.26043293,0.013959806,13.0,likely,C1,0.7434570648552979
-0.11113785,0.0044337744,5.0,appreciate,C1,0.742250297391211
4.019419,-0.15933505,143.0,design,C1,0.6999091689812965
2.7026744,-0.10404712,79.0,also,C1,0.7208467410192567
2.097018,-0.11153362,71.0,giving,C1,0.7278082186040377
4.5649724,-0.3645213,388.0,free,C1,0.6546665532530019
1.9270232,-0.10096901,77.0,wait,C1,0.7289892821241231
1.1210569,-0.08354992,47.0,sale,C1,0.7378317720643468
1.6456244,-0.028374815,55.0,hope,C1,0.7330684967410548
3.8084848,-0.36668912,168.0,year,C1,0.6999139854756876
0.83228153,-0.061614644,32.0,festival,C1,0.7406462162057248
4.0922103,-0.30953568,222.0,great,C1,0.689603374378656
0.9657178,-0.03619095,36.0,stuff,C1,0.7396518741276925
3.2821126,-0.74373174,185.0,marissa,C1,0.6997524084050813
3.4865944,-0.71453625,211.0,mayer,C1,0.6953356281749901
0.12032748,-0.012813948,9.0,reilly,C1,0.7436863238198257
3.294121,0.09623543,167.0,tech,C1,0.7028636012611834
1.4868015,-0.10369754,38.0,book,C1,0.7352740254270468
1.7683752,-0.1994597,73.0,conference,C1,0.7301530640404674
0.547015,-0.033140186,12.0,matt,C1,0.7427098333058151
0.09071896,-0.025522267,9.0,wordpress,C1,0.743571472311918
4.084291,-0.06275168,226.0,apps,C1,0.6869759068632291
1.0250382,-0.04847326,22.0,communication,C1,0.7396324462267372
0.9112232,-0.055109147,20.0,showcased,C1,0.7404693502811764
0.9107816,-0.08614178,29.0,http,C1,0.7401210423165155
1.3765107,-0.07794311,37.0,edchat,C1,0.7363740414790314
1.133316,-0.07123189,33.0,starting,C1,0.7385090797391876
3.1650639,-0.21734275,131.0,around,C1,0.7112724112392905
0.3798915,-0.023447704,14.0,corner,C1,0.7433978351463663
0.007958383,0.014096371,5.0,jump,C1,0.7430022132248486
3.875,-0.04266789,177.0,good,C1,0.6965817236486793
4.422304,-0.23899443,306.0,time,C1,0.6711202938482116
4.860034,-0.36594573,598.0,android,C1,0.6018939368503694
1.6498094,-0.17254552,63.0,smart,C1,0.7320981781180036
0.21503419,-0.020249285,10.0,simple,C1,0.7437311869786896
1.5687754,-0.060778704,49.0,idea,C1,0.7341790152488965
0.2896925,-0.024697563,12.0,wrote,C1,0.7436267161690429
0.704123,-0.07257653,32.0,hollergram,C1,0.7412505834973844
1.5893188,-0.13455383,51.0,day,C1,0.7336370284993302
0.75758237,0.0023251243,20.0,plus,C1,0.7414105980454286
0.025405498,0.047507044,7.0,strong,C1,0.7424928069506674
0.13341257,0.006265991,8.0,canadian,C1,0.743581364783795
0.17464688,-0.023472652,7.0,dollar,C1,0.7436828386484363
1.1794078,-0.06981985,30.0,mean,C1,0.7382386393125929
0.3835099,-0.052735876,22.0,stock,C1,0.7429894692759028
-0.056642745,-0.004303463,6.0,gear,C1,0.742786506893123
0.8827562,0.11216601,44.0,excited,C1,0.7379975463839668
1.9448355,-0.07818192,64.0,meet,C1,0.7297848109649289
4.1876173,-0.27397892,140.0,show,C1,0.6985434935039393
0.13856721,-0.022073599,7.0,sprint,C1,0.7436657699668552
0.058986705,-0.04790395,10.0,galaxy,C1,0.7431967117987772
2.6758256,-0.2148768,107.0,still,C1,0.7187605539744915
0.45808277,-0.07006336,18.0,running,C1,0.7427597090792537
1.2678208,-0.021963047,38.0,fail,C1,0.7372403531867645
2.3023114,-0.076387346,89.0,find,C1,0.7243136341864733
1.6380975,-0.06005354,49.0,start,C1,0.7335458125340067
-0.20753309,0.007464358,4.0,impromptu,C1,0.7412817523550885
4.7511845,-0.32424605,401.0,party,C1,0.6493574924590291
3.6036708,-0.38305902,229.0,come,C1,0.6937829426035336
1.699736,-0.085148185,52.0,foursquare,C1,0.7328092132774808
4.3934846,0.12609361,153.0,game,C1,0.6902178967266877
-0.027693115,-0.015706347,9.0,prefer,C1,0.7430244367340184
3.8271277,-0.3669222,146.0,best,C1,0.7020944490571797
2.1558888,-0.09183623,80.0,looking,C1,0.7265611239406088
0.29659492,0.0041637355,18.0,gotta,C1,0.7433636001267153
3.1570432,-0.2934194,146.0,love,C1,0.709567724697733
0.61332786,-0.029586786,20.0,calendar,C1,0.7423557047650591
0.10009267,-0.022775946,10.0,featuring,C1,0.7436095737699195
3.4840248,-0.24469125,122.0,case,C1,0.7085736837670199
4.054464,-0.20828441,266.0,check,C1,0.6821817747377434
0.47077063,-0.0034029318,23.0,haha,C1,0.7427766236270932
-0.066871695,0.007067458,6.0,awesomely,C1,0.7426265776445118
0.6976477,-0.050895967,22.0,holler,C1,0.7418175137067832
0.6947958,-0.06531414,22.0,gram,C1,0.7417445437392545
2.232751,-0.2299091,98.0,itunes,C1,0.723772622796418
4.232746,-0.2365583,1528.0,store,C2,0.5243230400604656
2.6172662,0.074747585,104.0,coming,C1,0.7183611237171144
1.2160975,-0.121341236,44.0,weekend,C1,0.737078247573247
2.2663703,-0.07498794,78.0,many,C1,0.725572891960092
3.9373012,-0.49628964,156.0,user,C1,0.699236979292862
2.6725078,-0.18972942,89.0,hour,C1,0.720394287411997
0.68895656,-0.007893841,31.0,late,C1,0.7414773915754926
0.29149485,-0.042192075,11.0,sunday,C1,0.7435161506461669
1.0422007,-0.061701775,43.0,morning,C1,0.7387080989582081
0.36187333,-0.009105945,18.0,added,C1,0.7433250036631789
1.0546224,-0.074502684,25.0,flight,C1,0.7392852510583722
4.0440135,-0.25600594,231.0,people,C1,0.6885194081741971
0.58512425,-0.04101546,18.0,plane,C1,0.7425062803353806
0.8268651,-0.06961225,21.0,airport,C1,0.7409555797282035
0.31567454,-0.026227588,11.0,downloaded,C1,0.7435692598471834
0.65758365,0.008013768,21.0,done,C1,0.7419346803654563
1.6086525,-0.0873097,50.0,must,C1,0.7337412637656497
-0.0074365376,0.012289728,5.0,lovely,C1,0.7429428659167754
1.0036613,-0.015398657,28.0,review,C1,0.7396473245498025
1.9305129,-0.09311797,64.0,sure,C1,0.7299214312634733
-0.08937754,0.0010749234,5.0,pure,C1,0.742464464927597
-0.04983455,-0.024395915,7.0,easier,C1,0.7428200113530785
2.983376,-0.07427495,105.0,event,C1,0.7155203909666225
1.306629,-0.07069776,42.0,website,C1,0.7367740769507072
-0.15253769,0.032552857,5.0,okay,C1,0.7415468524134181
2.8287396,-0.009690305,111.0,really,C1,0.7162570754668639
2.0168169,-0.108885914,105.0,photo,C1,0.7254660070413047
-0.18692473,-0.0062248004,5.0,installed,C1,0.7415785999487302
2.0747592,-0.12967204,82.0,nice,C1,0.7271470914780389
-0.110454224,0.009533202,4.0,tumblr,C1,0.7421786676067945
0.4660552,0.0077350046,18.0,enjoying,C1,0.7428886988449775
0.87487835,-0.07479418,21.0,change,C1,0.7406070072460373
0.96179146,-0.03593116,41.0,gowalla,C1,0.7393860736667354
1.0088129,-0.06578121,32.0,forward,C1,0.7394824788606591
0.85087293,-0.09590157,28.0,seeing,C1,0.7404278224759213
1.465817,0.086253695,59.0,else,C1,0.7332960692633043
0.2391346,-0.024121298,11.0,hoping,C1,0.7437022704355145
0.025225125,-0.0060356525,5.0,promotion,C1,0.7432816977240682
1.8421725,-0.12825362,67.0,someone,C1,0.7304564429063478
0.6706216,-0.056955375,25.0,started,C1,0.7418393250929748
2.491411,-0.2233271,112.0,austin,C1,0.7200641195725221
1.5613174,0.0023838128,51.0,group,C1,0.7339076841137188
3.0784097,-0.06693257,152.0,look,C1,0.7092845006144526
4.905951,-0.094086334,308.0,like,C1,0.6628119724197347
3.550182,-0.14479734,220.0,going,C1,0.6948890090252875
1.482364,-0.10210789,46.0,rock,C1,0.7349993794011855
2.0186112,-0.055789005,92.0,update,C1,0.726730487161974
0.36866713,-0.022046011,14.0,push,C1,0.7434311037139686
2.2853765,-0.1385726,89.0,tonight,C1,0.7245033143822778
3.3821468,-0.1714431,121.0,right,C1,0.709803091280033
2.8161473,-0.25285277,104.0,team,C1,0.7174133049092097
0.39458767,-0.014187735,15.0,leave,C1,0.7433307657444778
1.0379314,-0.053746633,36.0,home,C1,0.7391433724557235
0.64885634,-0.012017906,26.0,register,C1,0.7419441897264548
1.9588598,-0.25808188,118.0,anyone,C1,0.7237574913012647
3.8252742,-0.27603206,177.0,want,C1,0.6986853969347296
1.8273387,-0.16215323,67.0,sell,C1,0.7303986780194537
0.5888697,-0.1253308,36.0,bought,C1,0.7407901621485603
3.2006848,3.2630048,683.0,launch,C2,0.6714277183542025
2.6705678,3.579378,297.0,major,C2,0.6541379000101061
3.7836735,4.3063135,663.0,social,C2,0.6831736245093489
3.4207864,4.2524476,467.0,network,C2,0.683349306612935
3.1507554,4.0290985,354.0,called,C2,0.6725292785189669
3.717602,4.2062535,587.0,circle,C2,0.6868060509481416
2.338049,3.2956865,237.0,possibly,C2,0.6229955646520404
3.5824661,3.0003145,577.0,today,C2,0.6627217968721607
3.3825767,-0.18644863,168.0,first,C1,0.7045421157104326
3.6711447,-0.4883397,448.0,line,C1,0.6508660952136243
0.012697655,-0.0083930055,4.0,engage,C1,0.7431767752614482
0.15796773,0.013580839,10.0,spin,C1,0.743522260017734
1.3431276,0.023630688,38.0,play,C1,0.7363056579700272
0.3231083,-0.027592134,14.0,concept,C1,0.7435326107410143
3.3827362,-0.27589494,150.0,music,C1,0.7067917989634652
1.3163126,-0.06650415,31.0,discovery,C1,0.7370887785026784
-0.025839854,0.08341411,10.0,false,C1,0.7413837884688022
0.3837851,0.13495336,17.0,alarm,C1,0.7404604333989492
0.8553798,0.1311018,36.0,probably,C1,0.7382067812600415
1.6670697,-0.15784307,78.0,ever,C1,0.7309039355681319
1.4690968,1.2937418,98.0,circles,C1,0.668467928355683
0.22145115,-0.033145558,10.0,force,C1,0.7436628635490214
0.49317133,-0.04898581,13.0,print,C1,0.7428847992206649
1.7170285,0.43819386,56.0,medium,C1,0.7218697573013741
0.1853065,0.038604826,8.0,weather,C1,0.7430767062333379
2.2404501,-0.20925687,70.0,night,C1,0.7260076091905807
0.08006348,-0.010182918,13.0,putting,C1,0.74348790526132
