x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3 C4 C5,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C5,0.4810195776544667
0.37634316,0.003478353,11.0,rise,C1,0.7019712410207668
0.73111004,-0.033749204,18.0,dead,C1,0.5935640064841763
3.9828346,0.020948611,238.0,need,C3,0.6460941255127481
0.37662598,-0.0074088247,13.0,upgrade,C1,0.7016874718820761
-0.06316564,0.004887472,4.0,plugin,C1,0.7188766520997095
0.4271167,-0.040221818,12.0,station,C1,0.6916432355231386
3.193548,-0.30603263,200.0,know,C3,0.6435585904028198
3.1021552,-0.18599184,135.0,awesome,C3,0.6197352399126093
0.26043293,0.013959806,13.0,likely,C1,0.7127860563913349
-0.11113785,0.0044337744,5.0,appreciate,C1,0.7159472002006508
4.019419,-0.15933505,143.0,design,C3,0.6543264191639325
2.7026744,-0.10404712,79.0,also,C5,0.5583103420733712
2.097018,-0.11153362,71.0,giving,C5,0.6595088701562308
4.5649724,-0.3645213,388.0,free,C3,0.6203498941103374
1.9270232,-0.10096901,77.0,wait,C5,0.6612983129142873
1.1210569,-0.08354992,47.0,sale,C5,0.6388730049106337
1.6456244,-0.028374815,55.0,hope,C5,0.6657326130567398
3.8084848,-0.36668912,168.0,year,C3,0.6548817646526423
0.83228153,-0.061614644,32.0,festival,C5,0.5210220090108757
4.0922103,-0.30953568,222.0,great,C3,0.6573292312588703
0.9657178,-0.03619095,36.0,stuff,C5,0.5869882894084975
3.2821126,-0.74373174,185.0,marissa,C3,0.6066386421819991
3.4865944,-0.71453625,211.0,mayer,C3,0.6204068792447102
0.12032748,-0.012813948,9.0,reilly,C1,0.7239396850575656
3.294121,0.09623543,167.0,tech,C3,0.6178537185453943
1.4868015,-0.10369754,38.0,book,C5,0.6627352311276657
1.7683752,-0.1994597,73.0,conference,C5,0.6563286820168721
0.547015,-0.033140186,12.0,matt,C1,0.6675281367497327
0.09071896,-0.025522267,9.0,wordpress,C1,0.7231605491768035
4.084291,-0.06275168,226.0,apps,C3,0.6537246104533033
1.0250382,-0.04847326,22.0,communication,C5,0.5766643941768113
0.9112232,-0.055109147,20.0,showcased,C5,0.5214964801979016
0.9107816,-0.08614178,29.0,http,C5,0.5578031510159128
1.3765107,-0.07794311,37.0,edchat,C5,0.6593037353739397
1.133316,-0.07123189,33.0,starting,C5,0.6306123555781089
3.1650639,-0.21734275,131.0,around,C3,0.6227636112415813
