x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C2,0.6100081266083659
0.37634316,0.003478353,11.0,rise,C2,0.5214696036050285
0.73111004,-0.033749204,18.0,dead,C2,0.6683385502270465
3.9828346,0.020948611,238.0,need,C1,0.6222499991217814
0.37662598,-0.0074088247,13.0,upgrade,C2,0.5455587860466117
-0.06316564,0.004887472,4.0,plugin,C10,0.7036045530130031
0.4271167,-0.040221818,12.0,station,C2,0.6052956317661584
3.193548,-0.30603263,200.0,know,C1,0.6382527621241151
3.1021552,-0.18599184,135.0,awesome,C1,0.5686416768288516
0.26043293,0.013959806,13.0,likely,C10,0.6120553376899535
-0.11113785,0.0044337744,5.0,appreciate,C10,0.6981115691485041
4.019419,-0.15933505,143.0,design,C1,0.6573461489572692
2.7026744,-0.10404712,79.0,also,C3,0.6649855597287929
2.097018,-0.11153362,71.0,giving,C3,0.6579302138524825
4.5649724,-0.3645213,388.0,free,C8,0.6710223279582158
1.9270232,-0.10096901,77.0,wait,C3,0.6315087612941367
1.1210569,-0.08354992,47.0,sale,C7,0.6488407220148213
1.6456244,-0.028374815,55.0,hope,C7,0.5855842903778297
3.8084848,-0.36668912,168.0,year,C1,0.6615999071703256
0.83228153,-0.061614644,32.0,festival,C2,0.566238234620106
4.0922103,-0.30953568,222.0,great,C1,0.6475033914307899
0.9657178,-0.03619095,36.0,stuff,C7,0.5578976651818139
3.2821126,-0.74373174,185.0,marissa,C1,0.5975729600979199
3.4865944,-0.71453625,211.0,mayer,C1,0.6142020270460764
0.12032748,-0.012813948,9.0,reilly,C10,0.6981552139761775
3.294121,0.09623543,167.0,tech,C1,0.5793583276103531
1.4868015,-0.10369754,38.0,book,C7,0.6614290076248138
1.7683752,-0.1994597,73.0,conference,C3,0.5781985673292864
0.547015,-0.033140186,12.0,matt,C2,0.6546292637133451
0.09071896,-0.025522267,9.0,wordpress,C10,0.6989378225278842
4.084291,-0.06275168,226.0,apps,C1,0.6425266519946352
1.0250382,-0.04847326,22.0,communication,C7,0.5392769892868262
0.9112232,-0.055109147,20.0,showcased,C2,0.5627202831170927
0.9107816,-0.08614178,29.0,http,C7,0.5022339672718084
1.3765107,-0.07794311,37.0,edchat,C7,0.6695550933909425
1.133316,-0.07123189,33.0,starting,C7,0.6399840648208123
3.1650639,-0.21734275,131.0,around,C1,0.5795814215670481
0.3798915,-0.023447704,14.0,corner,C2,0.5681942840069945
0.007958383,0.014096371,5.0,jump,C10,0.7053649304320125
3.875,-0.04266789,177.0,good,C1,0.6526264564005714
4.422304,-0.23899443,306.0,time,C8,0.5640120767343532
4.860034,-0.36594573,598.0,android,C8,0.6385368038835836
1.6498094,-0.17254552,63.0,smart,C3,0.4875680738785176
0.21503419,-0.020249285,10.0,simple,C10,0.6547365558735212
