x_values,y_values,word,Cluster,Silhouette
continuous,continuous,string,C1 C2 C3 C4 C5 C6 C7 C8,continuous
,,meta,meta,meta
0.0063222037,0.0027852613,tweeting,C3,0.6583670210758372
-0.0010739013,-0.0016264399,rise,C1,0.5619534561343449
0.003975617,0.0013684938,dead,C3,0.5523958926649285
-0.006764146,0.0005140986,need,C8,0.5609882834618791
-0.0025302335,0.0048143696,upgrade,C7,0.552197157396594
-0.0072201067,-0.0074372697,plugin,C8,0.5530815528060925
-0.003513383,-0.0051116585,station,C5,0.5423345254875116
-0.0011509941,-9.326907e-05,hope,C1,0.6266514963438133
0.0009556628,-0.00037853545,year,C6,0.637121370755043
-0.0016973435,-0.0005346167,festival,C1,0.6445356927280362
-0.003068677,0.0007494917,crashy,C1,0.653756151870635
-0.0038994069,-0.003072143,noticed,C8,0.6070126016428088
-0.0053441375,-0.0022698564,coming,C8,0.657524845933068
0.0013036764,0.0016024592,weekend,C6,0.6382818207415921
-0.0018224746,0.0011087775,many,C1,0.6638077071081998
-0.005263746,0.001226591,user,C7,0.5236616613463092
-0.0010402695,6.2738596e-05,hour,C1,0.6209770252698722
-0.00068291125,0.0054235714,late,C4,0.6361334963876089
0.0027092777,0.0030952364,come,C4,0.5017350082452762
-0.0028022912,0.0066579836,sunday,C7,0.5333312092783073
0.004170928,0.0033009574,morning,C3,0.6060328986379118
0.00075400557,0.00034630593,false,C6,0.62562763072909
0.0008245848,0.0022868568,alarm,C6,0.5839545158739734
-0.0036287308,-0.0020126025,circle,C8,0.5889928837618487
-0.0040283026,0.0025123223,probably,C7,0.5412971831746621
0.0014937477,-0.00032424566,ever,C6,0.6611277217563021
-0.002240942,-0.0009112851,circles,C1,0.6257150798125171
0.013399279,0.0046504033,social,C3,0.594662397457649
0.0018994171,-0.0042163515,line,C2,0.5131813991253709
0.0029939425,0.003617367,store,C4,0.5370551605044643
0.0018847923,-0.0027277933,insane,C2,0.5370657216804021
0.0025787582,-0.00445076,attending,C2,0.5842746002683047
0.0053230864,-0.0013390344,design,C2,0.5569510752183588
